,time,lng,lat,elev,dist_cum,kmph,rouad_grad_deg_f
313,3627.441517448919,4.0208,48.23577,126.78,127251.9099362173,119.67048215691655,-0.049785296142482546
314,3632.9606908080264,4.02319,48.23534,126.42,127435.26620023962,119.59808245398331,-0.11249386122906693
315,3655.1126393070977,4.0331,48.23435,124.67,128177.45774066089,120.61645708631738,-0.1350964311388194
316,3661.937983295241,4.03615,48.23419,123.46,128404.06005728294,119.52047270533312,-0.30594230165632813
317,3667.2215781012214,4.03851,48.23407,122.52,128579.36604360846,119.44548625445202,-0.30722006539330426
318,3669.5685108993603,4.03957,48.23402,122.11,128658.07343174062,120.73059676035503,-0.29846063602666056
319,3672.3420764788357,4.04081,48.23395,121.51,128750.2462806985,119.6374294171788,-0.37296213084361113
320,3676.426463375676,4.04264,48.23382,120.59,128886.5587992841,120.14656772300414,-0.3866946143032661
321,3695.640984465479,4.05109,48.23242,121.86,129531.49690487803,120.83450684442408,0.11282562667156551
322,3697.5337195382394,4.05189,48.23222,122.17,129594.78811247427,120.38047512595249,0.28063218082353825
323,3715.894311244551,4.05935,48.22976,122.21,130211.35146327657,120.8908785943566,0.0037171057512991367
324,3718.9015795344203,4.06053,48.22933,122.11,130310.98004830096,119.26535031677842,-0.057509358642208956
325,3723.833012899707,4.06246,48.22862,121.76,130474.29215193551,119.21961213609144,-0.12279244269848334
326,3725.625494002217,4.06316,48.22836,121.72,130533.65901010683,119.23176713967594,-0.03860454981631291
327,3729.0076222278967,4.0645,48.22787,122.12,130646.89020613856,120.52538476191918,0.2024019640773641
328,3788.486948069724,4.09029,48.22366,122.69,132613.8735188971,119.05212148438885,0.01660339119119947
329,3790.964256678646,4.09141,48.2236,122.18,132697.11342222957,120.96339185095314,-0.35103935437489414
330,3798.9536697355006,4.09499,48.22327,122.89,132964.85123331955,120.641668300901,0.15193934667317333
331,3835.2297328790314,4.1114,48.22247,124.34,134183.78692651808,120.96595151883966,0.06815686961208012
332,3845.7584467768957,4.11615,48.22251,120.1,134535.7323836321,120.33793090982036,-0.6902272731825956
333,3868.7389119216837,4.12637,48.22153,116.92,135300.67066100295,119.83124715644124,-0.23818853708551077
334,3873.8509177912633,4.12861,48.22117,116.92,135471.37891355203,120.21694122726704,0.0
335,3876.5617192262575,4.12979,48.22098,117.33,135561.3162939877,119.4386890123261,0.26119403029950544
336,3883.033628057809,4.1326,48.22053,117.99,135775.4252348639,119.09812193221876,0.17661614013073187
337,3948.6513155836,4.16131,48.22459,123.47,137949.72151659004,119.28897389347169,0.14440543800342584
338,3951.995803013542,4.16251,48.22518,124.58,138060.20924734455,118.92878626341502,0.5755949127329547
339,3958.955295542192,4.1651,48.22638,126.9,138293.92007694923,120.89372653441677,0.5687449003230916
340,4011.102126624949,4.18824,48.22826,129.0,140020.72854411099,119.21166354129315,0.0696782995623231
341,4020.98404931092,4.19239,48.22727,131.2,140347.26246088996,118.95682022215311,0.3860205670249013
342,4025.4888658354666,4.19429,48.2268,132.12,140497.39926404512,119.98102218224103,0.3510895149773234
343,4028.5067079223427,4.19557,48.22648,132.78,140598.67598442917,120.81354255350958,0.3733797760069213
344,4032.000449182657,4.19705,48.22611,132.89,140715.77544935056,120.66093116440388,0.05382205543672647
